City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
137,Bud,39.447,-86.1758,43.68,59,23,8.05,US,2022-04-17 04:41:43
138,Polovinnoye,54.7914,65.9864,42.66,53,10,8.3,RU,2022-04-17 04:41:43
139,Itoman,26.1247,127.6694,73.78,54,75,10.36,JP,2022-04-17 04:41:43
140,Turukhansk,65.8167,87.9833,25.68,83,100,18.48,RU,2022-04-17 04:41:44
141,Ahar,38.4774,47.0699,44.58,56,41,0.96,IR,2022-04-17 04:41:44
142,Namatanai,-3.6667,152.4333,84.0,72,53,8.55,PG,2022-04-17 04:41:44
143,Amahai,-3.3333,128.9167,85.15,70,84,5.59,ID,2022-04-17 04:41:45
144,Luau,-10.7073,22.2247,64.56,98,100,3.09,AO,2022-04-17 04:41:45
145,Pisco,-13.7,-76.2167,64.02,82,0,4.61,PE,2022-04-17 04:41:45
146,San Cristobal,7.7669,-72.225,75.38,97,100,4.63,VE,2022-04-17 04:41:45
147,Kavieng,-2.5744,150.7967,84.36,72,28,9.35,PG,2022-04-17 04:41:46
148,Georgetown,5.4112,100.3354,89.55,66,20,6.91,MY,2022-04-17 04:38:29
149,Ulaanbaatar,47.9077,106.8832,50.13,18,0,11.18,MN,2022-04-17 04:41:46
150,Richards Bay,-28.783,32.0377,64.18,86,100,4.32,ZA,2022-04-17 04:41:46
151,Jalor,25.35,72.6167,94.48,27,0,15.23,IN,2022-04-17 04:41:47
152,Aksu,41.1231,80.2644,65.35,11,62,11.03,CN,2022-04-17 04:41:47
153,Ribeira Grande,38.5167,-28.7,58.84,77,5,19.1,PT,2022-04-17 04:41:47
154,Russell,32.3502,-85.1999,64.0,96,20,0.0,US,2022-04-17 04:41:48
155,Nantucket,41.2835,-70.0995,48.34,87,100,25.32,US,2022-04-17 04:41:48
156,Ereymentau,51.6199,73.1033,61.52,47,88,11.01,KZ,2022-04-17 04:41:48
157,Gizo,-8.103,156.8419,81.95,73,100,6.2,SB,2022-04-17 04:41:48
158,Taoudenni,22.6783,-3.9836,70.52,32,0,9.95,ML,2022-04-17 04:41:49
159,Bulawayo,-20.15,28.5833,59.23,97,100,11.14,ZW,2022-04-17 04:41:49
160,Batticaloa,7.7102,81.6924,85.39,69,75,1.3,LK,2022-04-17 04:41:49
161,Cherskiy,68.75,161.3,17.65,87,99,11.48,RU,2022-04-17 04:41:50
162,Tual,-5.6667,132.75,83.95,69,96,3.42,ID,2022-04-17 04:41:50
163,Karratha,-20.7377,116.8463,96.08,24,12,12.46,AU,2022-04-17 04:41:50
164,Suntar,62.1444,117.6319,36.21,71,99,12.41,RU,2022-04-17 04:41:51
165,Arraial Do Cabo,-22.9661,-42.0278,71.51,75,5,15.73,BR,2022-04-17 04:41:51
166,Rawson,-43.3002,-65.1023,52.74,76,0,11.25,AR,2022-04-17 04:41:51
167,Korla,41.7597,86.1469,62.13,8,0,7.43,CN,2022-04-17 04:41:51
168,Saldanha,-33.0117,17.9442,55.45,70,0,8.34,ZA,2022-04-17 04:41:52
169,Show Low,34.2542,-110.0298,53.89,21,0,14.97,US,2022-04-17 04:41:52
170,Raudeberg,61.9875,5.1352,42.87,72,100,9.01,NO,2022-04-17 04:41:52
171,Betsiamites,48.9413,-68.646,36.0,83,89,5.12,CA,2022-04-17 04:41:53
172,Burns Lake,54.2331,-125.7533,33.22,89,99,1.72,CA,2022-04-17 04:40:05
173,Kodiak,57.79,-152.4072,38.71,87,100,12.66,US,2022-04-17 04:41:52
174,Naantali,60.4674,22.0243,36.1,80,0,4.61,FI,2022-04-17 04:41:53
175,Buala,-8.145,159.5921,82.26,74,95,2.93,SB,2022-04-17 04:41:53
176,Pyay,18.8167,95.2167,100.09,31,26,7.38,MM,2022-04-17 04:41:54
177,Cabedelo,-6.9811,-34.8339,77.67,87,89,7.2,BR,2022-04-17 04:41:23
178,Santa Cruz,-17.8,-63.1667,71.06,60,75,12.66,BO,2022-04-17 04:42:54
179,Wukari,7.85,9.7833,80.29,73,88,3.74,NG,2022-04-17 04:42:54
180,Pevek,69.7008,170.3133,6.57,91,99,5.46,RU,2022-04-17 04:42:55
181,Am Timan,11.0297,20.2827,86.88,34,57,3.36,TD,2022-04-17 04:42:55
182,Baffa,34.4378,73.2194,84.27,20,65,2.46,PK,2022-04-17 04:42:55
183,Vilhena,-12.7406,-60.1458,69.58,90,73,3.29,BR,2022-04-17 04:40:54
184,Gat,31.61,34.7642,72.39,23,23,5.57,IL,2022-04-17 04:42:56
185,Farah,32.5,62.5,78.84,19,81,2.64,AF,2022-04-17 04:42:56
186,Orje,59.4802,11.6602,36.36,93,27,1.39,NO,2022-04-17 04:42:56
187,Deputatskiy,69.3,139.9,14.0,89,100,4.07,RU,2022-04-17 04:42:57
188,Curup,-3.4667,102.5333,83.79,60,99,2.01,ID,2022-04-17 04:42:57
189,Thompson,55.7435,-97.8558,19.56,53,100,3.44,CA,2022-04-17 04:42:57
190,Tarrafal,15.2833,-23.7667,70.59,79,77,11.95,CV,2022-04-17 04:42:58
191,Lodja,-3.4833,23.4333,69.19,98,100,1.43,CD,2022-04-17 04:42:58
192,Nikolskoye,59.7035,30.7861,36.88,68,49,2.68,RU,2022-04-17 04:42:58
193,Los Algarrobos,8.5,-82.4333,76.19,83,100,3.09,PA,2022-04-17 04:42:58
194,Cidreira,-30.1811,-50.2056,65.05,74,67,6.44,BR,2022-04-17 04:42:59
195,Tura,25.5198,90.2201,85.06,59,11,8.86,IN,2022-04-17 04:42:59
196,Nyzhni Sirohozy,46.8484,34.3804,48.85,84,90,7.47,UA,2022-04-17 04:42:59
197,Saskylakh,71.9167,114.0833,23.22,92,100,20.0,RU,2022-04-17 04:43:00
198,Husavik,66.0449,-17.3389,40.78,86,46,10.16,IS,2022-04-17 04:43:00
199,Znamenskoye,57.1281,73.8282,42.15,75,58,8.68,RU,2022-04-17 04:43:00
200,Ancud,-41.8697,-73.8203,49.48,86,0,2.66,CL,2022-04-17 04:43:01
201,Sturgis,41.7992,-85.4192,33.6,69,0,0.0,US,2022-04-17 04:43:01
202,Alofi,-19.0595,-169.9187,84.09,74,53,6.91,NU,2022-04-17 04:43:01
203,Aizkraukle,56.6048,25.2553,34.39,62,69,6.35,LV,2022-04-17 04:43:01
204,Shimoda,34.6667,138.95,59.36,72,100,8.93,JP,2022-04-17 04:43:02
205,Moose Factory,51.2585,-80.6094,26.6,86,100,11.5,CA,2022-04-17 04:43:02
206,Kamenka,51.3223,42.7678,52.47,71,100,13.78,RU,2022-04-17 04:43:02
207,Saint-Augustin,51.226,-58.6502,28.11,94,68,8.95,CA,2022-04-17 04:43:03
208,Gazli,40.1333,63.45,73.6,36,12,17.29,UZ,2022-04-17 04:43:03
209,Iberia,29.9502,-91.7507,74.08,94,100,5.75,US,2022-04-17 04:43:03
210,Samarai,-10.6167,150.6667,84.04,72,95,10.0,PG,2022-04-17 04:43:04
211,Buedu,8.2803,-10.3719,70.39,97,100,1.95,SL,2022-04-17 04:43:04
212,Ferrol,43.4832,-8.2369,56.35,86,100,0.85,ES,2022-04-17 04:43:04
213,Komsomolskiy,40.4272,71.7189,72.32,28,92,4.61,UZ,2022-04-17 04:43:05
214,Ambikapur,23.1167,83.2,100.78,7,1,7.38,IN,2022-04-17 04:43:05
215,Santiago Del Estero,-27.7951,-64.2615,59.54,60,8,4.65,AR,2022-04-17 04:42:14
216,Shengjin,41.8136,19.5939,62.64,75,100,18.25,AL,2022-04-17 04:43:05
217,Codrington,-38.2667,141.9667,75.02,40,100,19.66,AU,2022-04-17 04:43:06
218,Muros,42.7762,-9.0603,53.83,87,97,7.52,ES,2022-04-17 04:43:06
219,Qaqortoq,60.7167,-46.0333,26.38,90,14,5.14,GL,2022-04-17 04:43:06
220,Zinder,13.8072,8.9881,78.8,59,96,10.58,NE,2022-04-17 04:43:06
221,Yuli,9.6989,10.2744,81.7,61,80,1.59,NG,2022-04-17 04:44:07
222,Rocha,-34.4833,-54.3333,53.2,92,0,2.19,UY,2022-04-17 04:44:07
223,Mackenzie,55.2999,-123.1698,32.22,51,0,4.61,CA,2022-04-17 04:44:07
